id,departamento,campana,PP
805,JUNIN,1978/79,542.52
806,JUNIN,1979/80,747.52
807,JUNIN,1980/81,861.56
808,JUNIN,1981/82,574.55
809,JUNIN,1982/83,382.78
810,JUNIN,1983/84,854.18
811,JUNIN,1984/85,20.07
812,JUNIN,1985/86,0
813,JUNIN,1986/87,133.86
814,JUNIN,1987/88,616.44
815,JUNIN,1988/89,504.69
816,JUNIN,1989/90,972.33
817,JUNIN,1990/91,628.14
818,JUNIN,1991/92,514.08
819,JUNIN,1992/93,940.33
820,JUNIN,1993/94,446.82
821,JUNIN,1994/95,781.8
822,JUNIN,1995/96,564.91
823,JUNIN,1996/97,827.28
824,JUNIN,1997/98,743.95
825,JUNIN,1998/99,321.83
826,JUNIN,1999/00,484.86
827,JUNIN,2000/01,1147.31
828,JUNIN,2001/02,961.86
829,JUNIN,2002/03,891.79
830,JUNIN,2003/04,478.52
831,JUNIN,2004/05,770.64
832,JUNIN,2005/06,446.8
833,JUNIN,2006/07,1023.11
834,JUNIN,2007/08,784.36
835,JUNIN,2008/09,342.13
836,JUNIN,2009/10,1085.58
837,JUNIN,2010/11,561.35
838,JUNIN,2011/12,673.87
839,JUNIN,2012/13,940.56
840,JUNIN,2013/14,818.12
841,JUNIN,2014/15,NA
842,JUNIN,2015/16,NA
1151,JUNIN,1969/70,NA
1152,JUNIN,1970/71,NA
1153,JUNIN,1971/72,NA
1574,JUNIN,2016/17,NA
1911,9 DE JULIO,1973/74,NA
1912,9 DE JULIO,1974/75,NA
1913,9 DE JULIO,1975/76,34.29
1914,9 DE JULIO,1976/77,221.73
1915,9 DE JULIO,1977/78,431.55
1916,9 DE JULIO,1978/79,281.94
1917,9 DE JULIO,1979/80,205.74
1918,9 DE JULIO,1980/81,594.11
1919,9 DE JULIO,1981/82,198.14
1920,9 DE JULIO,1982/83,NA
1921,9 DE JULIO,1983/84,NA
1922,9 DE JULIO,1984/85,NA
1923,9 DE JULIO,1985/86,NA
1924,9 DE JULIO,1986/87,327.65
1925,9 DE JULIO,1987/88,NA
1926,9 DE JULIO,1988/89,NA
1927,9 DE JULIO,1989/90,NA
1928,9 DE JULIO,1990/91,36.82
1929,9 DE JULIO,1991/92,NA
1930,9 DE JULIO,1992/93,NA
1931,9 DE JULIO,1993/94,NA
1932,9 DE JULIO,1994/95,NA
1933,9 DE JULIO,1995/96,NA
1934,9 DE JULIO,1996/97,NA
1935,9 DE JULIO,1997/98,NA
1936,9 DE JULIO,1998/99,NA
1937,9 DE JULIO,1999/00,NA
1938,9 DE JULIO,2000/01,NA
1939,9 DE JULIO,2001/02,NA
1940,9 DE JULIO,2002/03,NA
1941,9 DE JULIO,2003/04,NA
1942,9 DE JULIO,2004/05,NA
1943,9 DE JULIO,2005/06,NA
1944,9 DE JULIO,2006/07,NA
1945,9 DE JULIO,2007/08,NA
1946,9 DE JULIO,2008/09,NA
1947,9 DE JULIO,2009/10,NA
1948,9 DE JULIO,2010/11,NA
1949,9 DE JULIO,2011/12,NA
1950,9 DE JULIO,2012/13,NA
1951,9 DE JULIO,2013/14,NA
1952,9 DE JULIO,2014/15,NA
1953,9 DE JULIO,2015/16,NA
2169,9 DE JULIO,1969/70,NA
2170,9 DE JULIO,1970/71,NA
2171,9 DE JULIO,1971/72,NA
2172,9 DE JULIO,1972/73,NA
2498,9 DE JULIO,2016/17,NA
2739,PEHUAJO,1973/74,706.12
2740,PEHUAJO,1974/75,524.76
2741,PEHUAJO,1976/77,789.16
2742,PEHUAJO,1977/78,620.75
2743,PEHUAJO,1978/79,531.88
2744,PEHUAJO,1979/80,470.13
2745,PEHUAJO,1980/81,587.99
2746,PEHUAJO,1981/82,376.72
2747,PEHUAJO,1982/83,724.17
2748,PEHUAJO,1983/84,812.32
2749,PEHUAJO,1984/85,74.18
2750,PEHUAJO,1985/86,0
2751,PEHUAJO,1986/87,98.04
2752,PEHUAJO,1987/88,601.5
2753,PEHUAJO,1988/89,541.28
2754,PEHUAJO,1989/90,371.61
2755,PEHUAJO,1990/91,407.16
2756,PEHUAJO,1991/92,NA
2757,PEHUAJO,1992/93,483.1
2758,PEHUAJO,1993/94,398.53
2759,PEHUAJO,1994/95,551.45
2760,PEHUAJO,1995/96,263.67
2761,PEHUAJO,1996/97,309.63
2762,PEHUAJO,1997/98,NA
2763,PEHUAJO,1998/99,NA
2764,PEHUAJO,1999/00,NA
2765,PEHUAJO,2000/01,NA
2766,PEHUAJO,2001/02,NA
2767,PEHUAJO,2002/03,NA
2768,PEHUAJO,2003/04,NA
2769,PEHUAJO,2004/05,NA
2770,PEHUAJO,2005/06,NA
2771,PEHUAJO,2006/07,NA
2772,PEHUAJO,2007/08,NA
2773,PEHUAJO,2008/09,NA
2774,PEHUAJO,2009/10,NA
2775,PEHUAJO,2010/11,NA
2776,PEHUAJO,2011/12,NA
2777,PEHUAJO,2012/13,NA
2778,PEHUAJO,2013/14,NA
2779,PEHUAJO,2014/15,NA
2780,PEHUAJO,2015/16,NA
2991,PEHUAJO,1969/70,NA
2992,PEHUAJO,1970/71,NA
2993,PEHUAJO,1971/72,NA
2994,PEHUAJO,1972/73,NA
2997,PEHUAJO,1975/76,269.02
3320,PEHUAJO,2016/17,NA
3561,TANDIL,1973/74,447.8
3562,TANDIL,1983/84,729.77
3563,TANDIL,1984/85,8.38
3564,TANDIL,1985/86,0
3565,TANDIL,1986/87,176.78
3566,TANDIL,1987/88,709.66
3567,TANDIL,1988/89,868.42
3568,TANDIL,1989/90,518.4
3569,TANDIL,1990/91,610.86
3570,TANDIL,1991/92,593.62
3571,TANDIL,1992/93,342.39
3572,TANDIL,1993/94,604.78
3573,TANDIL,1994/95,466.38
3574,TANDIL,1995/96,641.87
3575,TANDIL,1996/97,620.79
3576,TANDIL,1997/98,557.03
3577,TANDIL,1998/99,185.7
3578,TANDIL,1999/00,792.2
3579,TANDIL,2000/01,780.76
3580,TANDIL,2001/02,821.13
3581,TANDIL,2002/03,690.35
3582,TANDIL,2003/04,534.37
3583,TANDIL,2004/05,461
3584,TANDIL,2005/06,677.43
3585,TANDIL,2006/07,443.24
3586,TANDIL,2007/08,368.29
3587,TANDIL,2008/09,248.17
3588,TANDIL,2009/10,597.13
3589,TANDIL,2010/11,534.9
3590,TANDIL,2011/12,654.55
3591,TANDIL,2012/13,536.48
3592,TANDIL,2013/14,699.76
3593,TANDIL,2014/15,NA
3594,TANDIL,2015/16,NA
3833,TANDIL,1969/70,NA
3834,TANDIL,1970/71,NA
3835,TANDIL,1971/72,NA
3836,TANDIL,1972/73,NA
3838,TANDIL,1974/75,355.34
3839,TANDIL,1975/76,261.63
3840,TANDIL,1976/77,621.77
3841,TANDIL,1977/78,704.34
3842,TANDIL,1978/79,408.68
3843,TANDIL,1979/80,460.24
3844,TANDIL,1980/81,378.2
3845,TANDIL,1981/82,303.78
3846,TANDIL,1982/83,441.97
4256,TANDIL,2016/17,NA
